State,city_name,city_type,county,percent_completed_hs,poverty_rate,Median Income,Lat,Lng
AL,Chatom,town,,76,19.8,35365,31.4651653,-88.2544557
AL,Chelsea,city,,93.5,4.9,85757,33.3401108,-86.6302625
AL,Cherokee,town,,80.9,19.9,28359,34.7570342,-87.9728143
AL,Chickasaw,city,,79.9,33.6,30973,30.7637991,-88.0747222
AL,Childersburg,city,,78.8,38.6,25948,33.2781686,-86.3549774
AL,Choccolocco,CDP,,89.4,14.7,54825,33.6595939,-85.7044316
AL,Chunchula,CDP,,91.2,0,,30.9218505,-88.2005597
AL,Citronelle,city,,82.5,16.9,48125,31.0907338,-88.2280622
AL,Clanton,city,,76.8,16.9,39823,32.8387371,-86.6294262
AL,Clay,city,,92.2,6.6,68717,33.7026013,-86.5997096
AL,Clayhatchee,town,,85.3,16.4,32656,31.2357293,-85.7227118
AL,Clayton,town,,57.8,29.3,25203,31.8782162,-85.4496627
AL,Cleveland,town,,74.4,15,40909,33.9909316,-86.5774905
AL,Clio,city,,63.1,31.4,19539,31.7087753,-85.6104972
AL,Coaling,town,,88.2,19.5,54167,33.1590078,-87.340834
AL,Coats Bend,CDP,,90.9,15,42821,34.0500981,-85.847746
AL,Coffee Springs,town,,78,21.2,33636,31.1646193,-85.9093821
AL,Coffeeville,town,,71.7,41.3,19583,31.7579353,-88.0897308
AL,Coker,town,,89.2,10,45795,33.2459512,-87.6877882
AL,Collinsville,town,,52,32.1,25795,34.2639821,-85.8605251
AL,Colony,town,,77,24.8,33063,33.9387833,-86.8947789
AL,Columbia,town,,79,20.1,31806,31.2926762,-85.1115965
AL,Columbiana,city,,74.4,24,32700,33.1781718,-86.6072054
AL,Concord,CDP,,91.3,7.9,44620,33.4676085,-87.0311058
AL,Coosada,town,,84.3,23.5,47406,32.4979127,-86.3313602
AL,Cordova,city,,79.8,32.8,19139,33.7598291,-87.1833349
AL,Cottondale,CDP,,74.9,12.8,43875,33.189202,-87.4565956
AL,Cottonwood,town,,76.3,29.8,25313,31.0487933,-85.3049326
AL,County Line,town,,83.9,10.7,55313,33.8214894,-86.7186038
AL,Courtland,town,,79.6,25.8,33125,34.6689794,-87.3094649
AL,Cowarts,town,,86,11.7,43533,31.2001772,-85.3046549
AL,Creola,city,,84.4,18.1,51705,30.8918509,-88.0397213
AL,Crossville,town,,70.4,38.1,30833,34.2875925,-85.99414
AL,Cuba,town,,92.1,21,40673,32.4281952,-88.3764211
AL,Cullman,city,,85.3,21.9,38746,34.1748208,-86.8436124
AL,Cullomburg,CDP,,93.4,8.5,,31.713611,-88.296944
AL,Cusseta,town,,83.7,9.3,52500,32.7848521,-85.3057779
AL,Dadeville,city,,73.7,28.8,29368,32.831238,-85.7635692
AL,Daleville,city,,85.3,24.5,45651,31.3101719,-85.7129908
AL,Daphne,city,,95.8,11.2,60737,30.6035255,-87.9036047
AL,Dauphin Island,town,,95.8,3.6,63594,30.2542565,-88.1124155
AL,Daviston,town,,87.8,12.9,47639,33.0528992,-85.6396783
AL,Dayton,town,,100,48,,32.3509732,-87.6419503
AL,Deatsville,town,,96.3,5.1,78125,32.6081874,-86.3958071
AL,Decatur,city,,82.7,21.2,41496,34.6059253,-86.9833417
AL,Deer Park,CDP,,86.3,28.1,,31.2169307,-88.3145093
AL,Delta,CDP,,87,0,,33.4401108,-85.690515
AL,Demopolis,city,,89.1,31,27656,32.5176361,-87.836402
AL,Detroit,town,,64.8,27.9,24107,34.0281608,-88.1700368
AL,Dodge City,town,,81.7,16.7,41346,34.0406562,-86.8858343
AL,Dora,city,,82.3,17.2,40769,33.728717,-87.0902772
AL,Dothan,city,,86.2,19.1,42426,31.2232313,-85.3904888
AL,Double Springs,town,,74.5,27.5,29063,34.1464916,-87.4022386
AL,Douglas,town,,78.5,34.9,29318,34.1737065,-86.3235926
AL,Dozier,town,,79.1,30.3,21765,31.4921084,-86.3649582
AL,Dunnavant,CDP,,76,7.7,42857,33.5481597,-86.5444288
AL,Dutton,town,,90.6,24.2,39688,34.6109183,-85.91692
AL,East Brewton,city,,83.6,30.6,26736,31.0932339,-87.0627468
AL,East Point,CDP,,91.4,0,62059,34.184135,-86.792946
AL,Eclectic,town,,84.2,13.4,41304,32.6354093,-86.0344079
AL,Edgewater,CDP,,84.1,26.5,26818,33.5267732,-86.9577715
AL,Edwardsville,town,,87,5.1,38438,33.7073272,-85.5091235
AL,Egypt,CDP,,84.9,4.5,56693,34.34417,-86.53389
AL,Elba,city,,76.9,31.1,26156,31.4146108,-86.0677243
AL,Elberta,town,,85.8,15.8,31190,30.4143646,-87.5977615
AL,Eldridge,town,,75,37.8,30000,33.9228835,-87.6172389
AL,Elkmont,town,,78.2,11.2,39583,34.9289743,-86.9738959
AL,Elmore,town,,70.5,30,40150,32.5387448,-86.3149712
AL,Emelle,town,,79.3,0,36250,32.7292998,-88.3144755
AL,Emerald Mountain,CDP,,90.9,8.2,91054,32.4554141,-86.1191666
AL,Enterprise,city,,89.2,16.3,54450,31.3151708,-85.8552161
AL,Epes,town,,81.6,24.8,25000,32.6904114,-88.1261339
AL,Ethelsville,town,,80.6,32.3,40417,33.4156743,-88.2166991
AL,Eufaula,city,,81.5,25.3,32845,31.8912717,-85.1454876
AL,Eunola,CDP,,96.1,0,42023,31.0399013,-85.847435
AL,Eutaw,town,,73.2,32.7,22377,32.8406848,-87.8875145
AL,Eva,town,,91.2,11.1,39868,34.3323178,-86.758888
AL,Evergreen,city,,79.2,52.6,18661,31.4341907,-86.9545924
AL,Excel,town,,86,18.6,34375,31.4279433,-87.3413731
AL,Fairfield,city,,88.9,23.4,34890,33.4859402,-86.9119366
AL,Fairford,CDP,,57.6,0,32269,31.16893,-88.060554
AL,Fairhope,city,,95.4,11.2,61489,30.5229719,-87.9033261
AL,Fairview,town,,82,24,37750,34.2553741,-86.6880519
AL,Falkville,town,,65.1,26,33846,34.3684295,-86.908616
AL,Faunsdale,town,,85.7,30.2,20625,32.4598585,-87.5938938
AL,Fayette,city,,79.1,25.9,30646,33.6845539,-87.8308522
AL,Fayetteville,CDP,,68.5,15.3,34632,33.145556,-86.405833
AL,Fitzpatrick,CDP,,60.7,15.5,,32.2165192,-85.8889014
AL,Five Points,town,,61.9,20.4,45000,33.0181788,-85.3502251
AL,Flomaton,town,,77.3,30.2,24406,31.000182,-87.260807
AL,Florala,town,,79.6,30.1,25673,31.00518,-86.3280018
AL,Florence,city,,84.4,24.6,35731,34.79981,-87.677251
AL,Foley,city,,91.5,18.9,40938,30.4065868,-87.6835974
AL,Forestdale,CDP,,93.5,17,48654,33.5701054,-86.8963819
AL,Forkland,town,,74.1,48.1,19063,32.6481893,-87.8833475
AL,Fort Deposit,town,,70.5,30.2,23963,31.9845929,-86.5785856
AL,Fort Payne,city,,67.7,19,38833,34.4442547,-85.7196893
AL,Fort Rucker,CDP,,98.8,8,59265,31.3400515,-85.7153754
AL,Franklin,town,,85,6.6,60417,32.4784706,-85.8024562
AL,Fredonia,CDP,,88.6,18.4,66591,32.989574,-85.288094
AL,Frisco City,town,,77.3,31.3,17311,31.4334985,-87.401375
AL,Fruitdale,CDP,,93.3,33,63125,31.3429195,-88.4077369
AL,Fruithurst,town,,75.8,13.5,35625,33.7309382,-85.4338442
AL,Fulton,town,,76,19.9,32083,31.7884881,-87.7272221
AL,Fultondale,city,,85.1,14,51587,33.6102837,-86.7967857
AL,Fyffe,town,,83.7,12.8,42356,34.446755,-85.9041395
AL,Gadsden,city,,78.3,29.4,29136,34.014264,-86.0066386
AL,Gainesville,town,,76.7,40.9,14444,32.8209639,-88.158914
AL,Gallant,CDP,,83.7,3.9,45859,33.9987084,-86.245256
AL,Gantt,town,,85.6,8.3,47000,31.4068339,-86.4841273
AL,Garden City,town,,79.8,19.3,31591,34.0145436,-86.7469414
AL,Gardendale,city,,92.2,7.8,56132,33.6601033,-86.8127702
AL,Gaylesville,town,,78.4,19.3,26818,34.268426,-85.5569057
AL,Geiger,town,,71.3,19.5,45125,32.8681857,-88.3050321
AL,Geneva,city,,78.1,30.3,29912,31.0329572,-85.8638242
AL,Georgiana,town,,71.1,35.5,19969,31.6371028,-86.7419175
AL,Geraldine,town,,84.2,13.8,42292,34.3514798,-86.0008078
AL,Gilbertown,town,,83.8,21.5,33750,31.8770975,-88.3214089
AL,Glen Allen,town,,76.5,21.4,24531,33.9151043,-87.7416876
AL,Glencoe,city,,86.6,11.1,46691,33.957043,-85.9324698
AL,Glenwood,town,,84.8,13.6,36000,31.6646032,-86.1713444
AL,Goldville,town,,86.7,9.3,46250,33.0837311,-85.7838493
AL,Good Hope,town,,86.5,15.2,47754,34.1159328,-86.8636123
AL,Goodwater,town,,71.6,32.2,23809,33.065675,-86.0533013
AL,Gordo,town,,80.4,26.3,30781,33.3201178,-87.9027962
AL,Gordon,town,,66.8,26.9,22250,31.1412918,-85.0965965
AL,Gordonville,town,,76.1,39.2,18224,32.160026,-86.6963561
AL,Goshen,town,,71.2,31.9,40132,31.7229352,-86.1182882
AL,Graham,CDP,,74,4.5,41914,33.457829,-85.3201623
AL,Grand Bay,CDP,,84.6,6.4,48767,30.4763084,-88.3422303
AL,Grant,town,,89.2,7.2,55000,34.5286985,-86.2533163
AL,Grayson Valley,CDP,,90.4,8.9,46250,33.6481581,-86.6394323
AL,Graysville,city,,79.8,17.4,41282,33.6206611,-86.9713844
AL,Greensboro,city,,75,39.3,21797,32.7045753,-87.5958396
AL,Greenville,city,,78.4,25.8,29741,31.8295972,-86.6177517
AL,Grimes,town,,84.5,19.1,31579,31.3046175,-85.44799
AL,Grove Hill,town,,85.8,26.1,31786,31.7087681,-87.7772218
AL,Guin,city,,75.4,37.5,23000,33.9656594,-87.9147494
AL,Gulfcrest,CDP,,87.2,0,68462,30.9954598,-88.2375056
AL,Gulf Shores,city,,92.9,16.6,47662,30.2460361,-87.7008193
AL,Guntersville,city,,83.1,16.2,39756,34.3581473,-86.2947041
AL,Gurley,town,,74.5,30.8,32500,34.7017558,-86.3758201
AL,Gu-Win,town,,87.2,12,39000,33.960937,-87.8805816
AL,Hackleburg,town,,76.5,25.7,28819,34.27732,-87.8286423
AL,Hackneyville,CDP,,95.1,17.8,60474,33.0603977,-85.9330202
AL,Haleburg,town,,80,8.3,54167,31.406562,-85.1371525
AL,Haleyville,city,,70.7,26.8,24291,34.226488,-87.6214133
AL,Hamilton,city,,82.7,18.5,33053,34.1423235,-87.9886438
AL,Hammondville,town,,74.5,8,43281,34.5817507,-85.6266327
AL,Hanceville,city,,77.7,25.8,29231,34.0606545,-86.767498
AL,Harpersville,town,,80.7,18.8,35972,33.3439995,-86.4380357
AL,Hartford,city,,70.6,36.7,22094,31.1023998,-85.6968778
AL,Hartselle,city,,91.9,6.9,53878,34.4434282,-86.9352842
AL,Harvest,CDP,,90.6,5.5,63708,34.8556441,-86.7508323
AL,Hatton,CDP,,83.2,0,,34.5628707,-87.415301
AL,Hayden,town,,83.4,7.9,50795,33.8926003,-86.757773
AL,Hayneville,town,,72.1,44.4,18802,32.1840315,-86.5802533
AL,Hazel Green,CDP,,88.2,14.9,41938,34.9323102,-86.5719383
AL,Headland,city,,88.1,13.1,51822,31.351284,-85.3421559
AL,Heath,town,,80.3,32.5,38333,31.3607243,-86.4696811
AL,Heflin,city,,74.3,22.6,25823,33.6444926,-85.5842385
AL,Helena,city,,97.7,2.1,84615,33.296224,-86.8436004
AL,Henagar,city,,71.7,19.4,30757,34.635084,-85.7671936
AL,Highland Lake,town,,94.3,9.2,51250,33.8850986,-86.4197059
AL,Highland Lakes,CDP,,97.6,2,124291,33.8850986,-86.4197059
AL,Hillsboro,town,,74.6,17.6,34712,34.639258,-87.1916834
AL,Hissop,CDP,,73.8,23.2,25032,32.8923461,-86.1533028
AL,Hobson,CDP,,63.6,0,,31.47222,-88.15333
AL,Hobson City,town,,77.3,41.3,25563,33.6214934,-85.8441318
AL,Hodges,town,,69.3,26.9,29583,34.3270425,-87.9264233
AL,Hokes Bluff,city,,89.2,13.7,46042,33.9981546,-85.8663574
AL,Hollins,CDP,,68.2,24.4,,33.1176176,-86.1444152
AL,Hollis Crossroads,CDP,,71.4,29,34408,33.52372,-85.6371805
AL,Holly Pond,town,,90.4,19,44750,34.1742634,-86.616382
AL,Hollywood,town,,71.3,20.3,29306,34.72425,-85.9724787
AL,Holt,CDP,,75,46.4,30446,33.2340066,-87.4844489
AL,Holtville,CDP,,85.6,11.1,52713,32.636185,-86.321991
AL,Homewood,city,,93.5,12.7,61626,33.4717732,-86.8008228
AL,Hoover,city,,95.2,6,77146,33.4053867,-86.8113781
AL,Horn Hill,town,,66.3,10.2,34464,31.2457259,-86.3166187
AL,Hueytown,city,,86.5,14.3,42172,33.4512197,-86.9966606
AL,Huguley,CDP,,79.3,16.3,42063,32.8345732,-85.2296647
AL,Huntsville,city,,90.2,18.2,48775,34.7303688,-86.5861037
AL,Hurtsboro,town,,75.3,46,19732,32.2418146,-85.4163327
AL,Hytop,town,,70.6,14.7,38542,34.916196,-86.0880384
AL,Ider,town,,80.5,15.4,32692,34.7142484,-85.6808031
AL,Indian Springs Village,city,,97.2,4.4,96346,33.3595143,-86.7491802
AL,Irondale,city,,87.4,20.5,47351,33.5381601,-86.7072102
AL,Ivalee,CDP,,77,0,50737,34.0345413,-86.1452534
AL,Jackson,city,,85.8,24.7,31232,31.5090521,-87.8944435
AL,Jacksons' Gap,town,,67.1,26.1,36719,32.8846584,-85.7974141
AL,Jacksonville,city,,89,31.2,38903,33.8137125,-85.7613536
AL,Jasper,city,,85.3,22.3,39695,33.8312185,-87.2775053
AL,Jemison,city,,77.8,24.9,38500,32.9598451,-86.7466522
AL,Joppa,CDP,,67.3,0,23672,34.2983556,-86.5578001
AL,Kansas,town,,66.4,25.3,38542,33.9017737,-87.5519582
AL,Kellyton,town,,71.3,29.8,29688,32.9798441,-86.033578
AL,Kennedy,town,,82.6,10.9,35054,33.5870574,-87.9844674
AL,Killen,town,,87.1,17.7,55313,34.8628637,-87.5375253
AL,Kimberly,city,,89.4,6.3,76771,33.7734352,-86.8138832
AL,Kinsey,town,,75.9,16.2,37109,31.299063,-85.3443778
AL,Kinston,town,,69.5,30.2,23571,31.2160045,-86.1710578
AL,Ladonia,CDP,,84.4,26,32713,32.4681977,-85.0791016
AL,La Fayette,city,,69.7,24.8,25666,32.899776,-85.4011588
AL,Lakeview,town,,92.3,13.5,46250,33.2806703,-87.1374959
AL,Lake View,town,,95.7,2.2,88594,33.2806703,-87.1374959
AL,Lanett,city,,77.2,29.8,25220,32.8687391,-85.1904971
AL,Langston,town,,85.1,24.6,31875,34.5389756,-86.0744234
AL,Leeds,city,,87.2,15.4,52689,33.5481597,-86.5444288
AL,Leesburg,town,,80.5,18,41397,34.1798177,-85.7613554
AL,Leighton,town,,71.9,25.6,22500,34.700923,-87.5289151
AL,Leroy,CDP,,99.3,6.7,47365,31.5009206,-87.9714774
AL,Lester,town,,89,16.1,,34.9906391,-87.1533469
AL,Level Plains,town,,91.3,11.1,65769,31.2996162,-85.7779914
AL,Lexington,town,,87.1,21.3,35521,34.96925,-87.3711316
AL,Libertyville,town,,77.3,4.8,44286,31.2415614,-86.4613446
AL,Lillian,CDP,,96.6,11.6,51776,30.4142478,-87.4360804
AL,Lincoln,city,,87.5,12.7,55605,33.6131588,-86.1183061
AL,Linden,city,,87.1,25.1,29722,32.3062534,-87.7980665
AL,Lineville,city,,77.8,12.9,31472,33.3106696,-85.7544051
AL,Lipscomb,city,,71,30.6,26163,33.4256646,-86.9266588
AL,Lisman,town,,67.2,44.9,28750,32.1687554,-88.2825251
AL,Littleville,town,,81.8,7.7,49107,34.5906483,-87.6769745
AL,Livingston,city,,86,55.2,14426,32.5843025,-88.1872475
AL,Loachapoka,town,,89.5,31.8,34688,32.6043008,-85.5932854
AL,Lockhart,town,,82.2,14.9,36250,31.0104576,-86.3496691
AL,Locust Fork,town,,81.9,14.2,57143,33.9075992,-86.6152685
AL,Lookout Mountain,CDP,,82.3,14.9,51058,34.8641144,-85.3925101
AL,Louisville,town,,65.7,11.8,34286,31.7834963,-85.5557751
AL,Lowndesboro,town,,90.2,3.4,39375,32.2751399,-86.6113658
AL,Loxley,town,,85.3,20,48000,30.6182476,-87.7530454
AL,Luverne,city,,77.9,20.3,29844,31.7165455,-86.2638492
AL,Lynn,town,,74.8,27.9,33452,34.0470483,-87.54974
AL,McDonald Chapel,CDP,,60.3,62.6,15588,33.521773,-86.9336042
AL,Macedonia,CDP,,81.4,4.2,,33.39139,-88.23333
AL,McIntosh,town,,95.8,13.7,48625,31.2662818,-88.0313903
AL,McKenzie,town,,75.5,22.5,31500,31.542384,-86.7149699
AL,McMullen,town,,40,40,,33.1487346,-88.1764179
AL,Madison,city,,95.7,6.7,92960,34.6992579,-86.7483318
AL,Madrid,town,,70.6,14.9,38750,31.0357372,-85.3932662
AL,Magnolia Springs,town,,89.1,5.3,47614,30.3996424,-87.7761
AL,Malcolm,CDP,,90.1,63.7,,31.1912845,-88.0074999
AL,Malvern,town,,74,19.8,37000,31.1393439,-85.5191004
AL,Maplesville,town,,77.3,29.1,32788,32.7884608,-86.8716549
AL,Marbury,CDP,,83.8,9.9,37672,32.7010141,-86.471469
AL,Margaret,town,,92.5,10.1,64789,33.6862124,-86.4749838
AL,Marion,city,,81.4,33,31029,32.6323536,-87.3191655
AL,Maytown,town,,88.4,9.2,43750,33.5359399,-86.997217
AL,Meadowbrook,CDP,,94,6.5,92193,33.402053,-86.6966533
AL,Megargel,CDP,,53.1,46.9,-,31.3798894,-87.4283194
AL,Memphis,town,,29.4,60.5,,33.1365136,-88.297534
AL,Mentone,town,,87.5,10.9,38750,34.5795282,-85.5905204
AL,Meridianville,CDP,,86.6,15.4,68368,34.8514782,-86.5722154
AL,Midfield,city,,90.2,20.1,39678,33.4614965,-86.9088808
AL,Midland City,town,,79.3,31.5,27163,31.3190612,-85.4938239
AL,Midway,town,,58.3,43.1,24514,32.0770977,-85.5221667
AL,Mignon,CDP,,75.2,26,32452,33.183449,-86.2610854
AL,Millbrook,city,,91.3,11.6,58330,32.4798575,-86.3619163
AL,Millerville,CDP,,70.7,8.8,24861,33.1915052,-85.9257985
AL,Millport,town,,79.6,22.4,32443,33.5634478,-88.0814159
AL,Millry,town,,86.1,26,37813,31.6340496,-88.3133487
AL,Minor,CDP,,88.9,10.8,45000,33.5373284,-86.9405491
AL,Mobile,city,,86.9,23.3,38776,30.6953657,-88.0398912
AL,Monroeville,city,,82.3,36.7,30678,31.5279399,-87.3247077
AL,Montevallo,city,,86.6,25.5,34760,33.1006746,-86.8641558
AL,Montgomery,city,,85.5,24.1,42927,32.3792233,-86.3077368
AL,Moody,city,,87.9,9.9,61049,33.5909365,-86.4908168
AL,Moores Mill,CDP,,91,11.1,63911,34.8439785,-86.5183246
AL,Mooresville,town,,83.1,0,99375,34.625917,-86.8800069
AL,Morris,town,,84.9,5.8,70043,33.7481576,-86.8086048
AL,Morrison Crossroads,CDP,,93.8,9.5,21169,33.42639,-85.49333
AL,Mosses,town,,60.4,55.8,15240,32.1792804,-86.6736997
AL,Moulton,city,,79.2,24.3,28843,34.4812062,-87.2933533
AL,Moundville,town,,77.3,18.7,39719,32.9976242,-87.6300075
AL,Mountain Brook,city,,99.5,3,126534,33.5009384,-86.7522107
AL,Mount Olive,CDP,Coosa,87.3,1.7,,33.0695635,-86.1349703
AL,Mount Olive,CDP,Jefferson,92.5,11,73345,33.6709369,-86.8561047
AL,Mount Vernon,town,,80.8,31.3,40750,31.0851775,-88.0133325
AL,Movico,CDP,,81.9,12.9,,31.06444,-88.02556
AL,Mulga,town,,72,30.5,34886,33.5498286,-86.9741612
AL,Munford,town,,87.3,18.8,34034,33.5298282,-85.9508005
AL,Muscle Shoals,city,,88.7,10.7,48896,34.7448112,-87.6675292
AL,Myrtlewood,town,,72.5,7,35000,32.2504214,-87.949737
AL,Nanafalia,CDP,,94,29.7,,32.1129549,-87.9880248
AL,Nances Creek,CDP,,79.1,0,51196,33.8578794,-85.6569065
AL,Napier Field,town,,80.2,21.7,32000,31.3154506,-85.4541013
AL,Natural Bridge,town,,65.7,2.3,,34.0934355,-87.601965
AL,Nauvoo,town,,67.2,26.2,27000,33.9895503,-87.4889033
AL,Nectar,town,,78.3,18.3,35313,33.9598211,-86.6394367
AL,Needham,town,,83.7,1.9,56458,31.9879272,-88.3366906
AL,Newbern,town,,74.6,35,18750,32.5931884,-87.5327815
AL,New Brockton,town,,79.8,20.9,41066,31.3857239,-85.9293861
AL,New Hope,city,,84.3,14.8,44224,34.5370339,-86.3944307
AL,New Market,CDP,,86.9,0,59653,34.9100883,-86.4277677
AL,New Site,town,,82.1,9.6,42143,33.0373435,-85.7741266
AL,Newton,town,,82.3,17.7,41198,31.3351716,-85.6052133
AL,New Union,CDP,,84,27.9,36429,32.988181,-87.915016
AL,Newville,town,,73,21,31172,31.4218379,-85.337712
AL,North Courtland,town,,71.3,22.4,24097,34.6750042,-87.3087299
AL,North Johns,town,,75.6,11.7,39750,33.3673343,-87.1036067
AL,Northport,city,,90.2,13.7,53650,33.229007,-87.5772293
AL,Notasulga,town,,80.7,29.5,37273,32.5606908,-85.6724538
AL,Oak Grove,town,,73,13.1,40972,33.1917822,-86.2994197
AL,Oak Hill,town,,27.3,72.7,,31.9209828,-87.0827629
AL,Oakman,town,,72.2,21.4,40469,33.7134432,-87.3886157
AL,Odenville,town,,76.4,16.2,51518,33.6773237,-86.396648
